Код региона,Название региона,Тип региона,Кол-во людей,Поступило,Очное - Основные места,Средний,Очное - Целевая квота,Средний,Очное - Особая квота,Средний,Очное - Специальная квота,Средний,Очное - ДОУ,Средний,Заочное - Основные места,Средний,Заочное - Целевая квота,Средний,Заочное - Особая квота,Средний,Заочное - Специальная квота,Средний,Заочное - ДОУ,Средний,Очно-заочное - Основные места,Средний,Очно-заочное - Целевая квота,Средний,Очно-заочное - Особая квота,Средний,Очно-заочное - Специальная квота,Средний,Очно-заочное - ДОУ,Средний
38,Калининградская,обл,78,20,10,229.5,4,204.5,0,0,0,0,3,209,0,0,0,0,0,0,0,0,3,195,0,0,0,0,0,0,0,0,0,0
39,Ингушетия,Респ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Москва,г,53,14,6,181.5,1,195,0,0,0,0,2,194,2,161,0,0,0,0,0,0,2,202,1,0,0,0,0,0,0,0,0,0
41,Рязанская,обл,21,2,2,242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Смоленская,обл,41,14,12,204.5,0,0,0,0,0,0,1,211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,Омская,обл,35,12,11,211.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Коми-Пермяцкий,АО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Тверская,обл,63,11,7,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
46,Костромская,обл,33,5,3,182.5,0,0,0,0,0,0,1,171,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Липецкая,обл,30,10,6,199.4,1,281,0,0,0,0,2,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Томская,обл,16,3,2,208,0,0,0,0,0,0,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Красноярский,край,63,15,6,219.8,2,196,0,0,0,0,6,180.25,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Татарстан,Респ,71,14,12,222.18,0,0,0,0,0,0,1,178,0,0,0,0,0,0,0,0,0,0,1,205,0,0,0,0,0,0,0,0
51,Забайкальский,край,17,5,3,211.33,0,0,0,0,0,0,2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Саратовская,обл,48,6,2,205,0,0,0,0,0,0,1,204,0,0,0,0,0,0,0,0,2,165.5,0,0,0,0,0,0,0,0,1,155
53,Хабаровский,край,40,4,3,220.67,0,0,0,0,0,0,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ямало-Ненецкий,АО,36,10,4,174,1,265,0,0,0,0,5,184.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Корякский,АО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Пензенская,обл,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Кемеровская область - Кузбасс,обл,53,11,6,251.4,1,223,1,180,0,0,1,208,0,0,0,0,0,0,0,0,1,233,1,211,0,0,0,0,0,0,0,0
58,Северная Осетия - Алания,Респ,16,3,3,192.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Санкт-Петербург,г,3065,1010,492,210.49,74,209.73,11,198.6,1,180,240,192.87,55,227.68,0,0,0,0,0,0,80,199.85,49,219.29,0,0,1,0,0,0,8,183.43
60,Удмуртская,Респ,46,7,5,220.6,0,0,0,0,0,0,0,0,1,183,0,0,0,0,0,0,1,236,0,0,0,0,0,0,0,0,0,0
